date,NO2_value
2019-01-01,7.74E-05
2019-01-02,7.00E-05
2019-01-03,5.57E-05
2019-01-04,7.28E-05
2019-01-05,6.13E-05
2019-01-05,6.47E-05
2019-01-06,5.18E-05
2019-01-07,5.70E-05
2019-01-08,4.62E-05
2019-01-09,5.36E-05
2019-01-10,6.41E-05
2019-01-10,7.24E-05
2019-01-11,7.08E-05
2019-01-12,6.46E-05
2019-01-13,1.10E-04
2019-01-14,8.70E-05
2019-01-15,5.34E-05
2019-01-15,5.37E-05
2019-01-16,6.06E-05
2019-01-16,8.95E-05
2019-01-17,6.30E-05
2019-01-18,5.42E-05
2019-01-19,6.81E-05
2019-01-20,7.63E-05
2019-01-21,5.15E-05
2019-01-21,5.43E-05
2019-01-22,6.26E-05
2019-01-23,5.94E-05
2019-01-24,1.30E-04
2019-01-25,7.88E-05
2019-01-26,9.69E-05
2019-01-26,9.43E-05
2019-01-27,6.02E-05
2019-01-28,6.74E-05
2019-01-29,6.58E-05
2019-01-30,8.14E-05
2019-01-31,6.49E-05
2019-01-31,6.67E-05
2019-02-01,3.16E-05
2019-02-01,4.96E-05
2019-02-02,7.59E-05
2019-02-03,7.08E-05
2019-02-04,6.63E-05
2019-02-05,6.65E-05
2019-02-06,3.54E-04
2019-02-06,2.78E-04
2019-02-07,6.76E-05
2019-02-08,5.91E-05
2019-02-09,6.53E-05
2019-02-10,6.15E-05
2019-02-11,8.00E-05
2019-02-11,6.84E-05
2019-02-12,5.11E-05
2019-02-13,7.18E-05
2019-02-14,6.26E-05
2019-02-15,6.43E-05
2019-02-16,7.59E-05
2019-02-16,8.28E-05
2019-02-17,6.76E-05
2019-02-17,7.41E-05
2019-02-18,6.72E-05
2019-02-19,6.28E-05
2019-02-20,8.10E-05
2019-02-21,6.77E-05
2019-02-22,9.91E-05
2019-02-22,8.29E-05
2019-02-23,7.61E-05
2019-02-24,6.78E-05
2019-02-25,6.87E-05
2019-02-26,1.25E-04
2019-02-27,6.73E-05
2019-02-27,6.86E-05
2019-02-28,6.11E-05
2019-03-01,7.41E-05
2019-03-02,5.69E-05
2019-03-03,7.20E-05
2019-03-04,6.19E-05
2019-03-04,6.63E-05
2019-03-05,8.14E-05
2019-03-05,8.44E-05
2019-03-06,6.08E-05
2019-03-07,6.89E-05
2019-03-08,9.07E-05
2019-03-09,9.31E-05
2019-03-10,5.96E-05
2019-03-10,6.36E-05
2019-03-11,8.39E-05
2019-03-12,7.31E-05
2019-03-13,6.47E-05
2019-03-14,7.76E-05
2019-03-15,6.97E-05
2019-03-15,6.80E-05
2019-03-16,7.06E-05
2019-03-17,7.31E-05
2019-03-18,9.92E-05
2019-03-19,8.86E-05
2019-03-20,6.64E-05
2019-03-20,7.99E-05
2019-03-21,8.49E-05
2019-03-21,8.34E-05
2019-03-22,8.21E-05
2019-03-23,7.77E-05
2019-03-24,6.52E-05
2019-03-25,7.44E-05
2019-03-26,9.56E-05
2019-03-26,9.67E-05
2019-03-27,7.72E-05
2019-03-28,8.06E-05
2019-03-29,7.78E-05
2019-03-30,9.06E-05
2019-03-31,8.29E-05
2019-03-31,8.75E-05
2019-04-01,7.74E-05
2019-04-02,7.98E-05
2019-04-03,8.05E-05
2019-04-04,7.86E-05
2019-04-05,7.78E-05
2019-04-05,8.26E-05
2019-04-06,7.43E-05
2019-04-06,8.00E-05
2019-04-07,7.68E-05
2019-04-08,8.95E-05
2019-04-09,8.44E-05
2019-04-10,7.11E-05
2019-04-11,7.59E-05
2019-04-11,8.26E-05
2019-04-12,9.08E-05
2019-04-13,7.62E-05
2019-04-14,8.30E-05
2019-04-15,5.68E-05
2019-04-16,9.28E-05
2019-04-16,8.81E-05
2019-04-17,8.38E-05
2019-04-18,9.97E-05
2019-04-19,8.11E-05
2019-04-20,7.52E-05
2019-04-21,7.81E-05
2019-04-21,8.45E-05
2019-04-22,7.92E-05
2019-04-22,8.69E-05
2019-04-23,8.92E-05
2019-04-24,1.19E-04
2019-04-25,8.45E-05
2019-04-26,9.88E-05
2019-04-27,8.29E-05
2019-04-27,8.34E-05
2019-04-28,9.79E-05
2019-04-29,9.55E-05
2019-04-30,1.14E-04
2019-05-01,7.56E-05
2019-05-02,6.97E-05
